idINS,km_pa,f_i,ind_18_64,IRIS,COMMUNE
CRS3035RES200mN2609600E3473400,11083.179698870634,1.1681637486786924,1.4000000000000001,170320000,17032
CRS3035RES200mN2609600E3477800,11082.315150897222,1.2078073875599649,1.8,171070000,17107
CRS3035RES200mN2609600E3483400,12662.199481308735,1.3046115414104615,1.8,172030000,17203
CRS3035RES200mN2609600E3483600,12486.950176750835,1.7280905653564143,2.4000000000000004,172030000,17203
CRS3035RES200mN2609600E3487200,11679.818481989678,3.237948552255157,4.5,173400000,17340
CRS3035RES200mN2609600E3490000,11065.887035983687,0.7277819947072363,1.1,174570000,17457
CRS3035RES200mN2609600E3490200,10791.672881914632,12.570779908575101,19,174570000,17457
CRS3035RES200mN2609600E3490400,10531.781206511685,22.49507983639773,34,174570000,17457
CRS3035RES200mN2609600E3490600,10387.64016823571,0.7277819947074793,1.1,174570000,17457
CRS3035RES200mN2609600E3493400,12688.563391862726,1.7120107179403585,2.6999999999999997,170630000,17063
CRS3035RES200mN2609600E3493600,12225.018408734226,6.721227262017922,10.600000000000001,170630000,17063
CRS3035RES200mN2609600E3495200,10651.381176204957,1.3315638917313897,2.1,170630000,17063
CRS3035RES200mN2609600E3495600,11185.037397091544,4.882400936348421,7.700000000000001,170630000,17063
CRS3035RES200mN2609600E3497400,9868.848879527008,1.2047482829878908,1.9,170630000,17063
CRS3035RES200mN2609600E3498200,9663.836705414738,0.8877092611469707,1.4,170630000,17063
CRS3035RES200mN2609800E3470000,10577.274795988773,2.033019798257462,2.7,174830000,17483
CRS3035RES200mN2609800E3473400,11128.993430631168,9.953149058996386,12,170320000,17032
